epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,7241.6,1.77786,1.03324,1.3795,0.22789,0.1125,0.05511,0.01495,3.16483,4.67256,2.11195,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,7462.52,1.77222,1.0299,1.38357,0.15713,0.11429,0.04806,0.01376,3.22019,4.80683,2.13249,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,7684.04,1.76579,1.02506,1.38185,0.19049,0.10625,0.05415,0.01766,3.26203,5.07931,2.16598,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,7904.84,1.74908,1.01023,1.36967,0.20155,0.11071,0.05591,0.01599,3.36688,4.77693,2.25322,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,8125.47,1.74759,0.995,1.37702,0.24689,0.13214,0.08441,0.0246,3.0999,4.91975,1.99713,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,8346.26,1.73711,0.99773,1.35943,0.20237,0.12411,0.06447,0.01583,3.2513,4.54345,2.19137,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,8566.32,1.73916,0.98674,1.37218,0.20087,0.12479,0.06229,0.01749,3.2632,5.03101,2.20902,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,8786.4,1.72943,0.97205,1.35795,0.17867,0.11071,0.05273,0.01373,3.16718,4.98797,2.11345,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,9007.1,1.7215,0.98214,1.36148,0.20328,0.10714,0.05018,0.01339,3.19619,4.96667,2.09192,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,9228.23,1.72429,0.97016,1.35015,0.19061,0.11875,0.06483,0.02194,3.18064,4.62223,2.15855,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,9448.75,1.69845,0.95706,1.3386,0.26612,0.1185,0.06689,0.01654,3.1905,4.98271,2.16517,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,9669.88,1.69872,0.95691,1.34024,0.25875,0.13393,0.08111,0.02103,3.16759,4.7264,2.11658,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,9891.09,1.68684,0.95253,1.33285,0.26335,0.12411,0.07727,0.01778,3.17771,4.71539,2.17108,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,10112.4,1.69057,0.94195,1.33647,0.28622,0.14214,0.10038,0.0254,3.22387,5.07921,2.08913,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,10333.2,1.6839,0.91684,1.33493,0.22321,0.11071,0.06174,0.01683,3.12509,5.07712,1.98995,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,10554.3,1.68056,0.92621,1.33177,0.21682,0.11148,0.06937,0.02048,3.06909,4.86491,2.03985,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,10775.5,1.66818,0.91791,1.32758,0.19819,0.10446,0.05899,0.01913,3.1425,5.18333,2.13569,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,10997.4,1.67006,0.91607,1.32746,0.17559,0.1,0.04753,0.01327,3.16476,5.21899,2.13509,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,11218.9,1.64455,0.90577,1.31066,0.19278,0.10893,0.05092,0.01614,3.14653,5.1804,2.12753,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,11440.2,1.64503,0.89679,1.31281,0.19903,0.10339,0.05082,0.01462,3.24778,5.27116,2.20683,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,11660.8,1.64007,0.88422,1.31543,0.2476,0.13393,0.0747,0.01819,3.36843,4.98012,2.27108,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
