epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3074.51,1.91457,1.6696,2.19597,0.2119,0.24938,0.13774,0.04276,3.06717,3.14803,3.31563,0.000971133,0.000971133,0.000971133
43,3144.8,1.90962,1.66444,2.18356,0.24909,0.28096,0.16264,0.05289,2.80832,2.86594,3.02235,0.000932325,0.000932325,0.000932325
44,3214.96,1.88115,1.63249,2.16016,0.25962,0.31421,0.17,0.05744,2.79584,2.69365,3.01733,0.000893638,0.000893638,0.000893638
45,3285.07,1.89015,1.64259,2.16456,0.26729,0.28512,0.1668,0.0576,2.81535,2.9001,3.05669,0.00085513,0.00085513,0.00085513
46,3355.25,1.86732,1.5931,2.15939,0.26696,0.28033,0.1674,0.05643,2.77224,2.73229,3.02234,0.000816861,0.000816861,0.000816861
47,3425.57,1.83449,1.5658,2.12456,0.25497,0.33333,0.16862,0.05141,2.82097,2.61719,3.16967,0.000778889,0.000778889,0.000778889
48,3495.76,1.80988,1.52741,2.0935,0.2541,0.30008,0.15886,0.05371,2.85602,2.72489,3.17928,0.000741274,0.000741274,0.000741274
49,3566.13,1.77995,1.48623,2.07895,0.27872,0.2951,0.1828,0.05907,2.90446,2.86001,3.22667,0.000704073,0.000704073,0.000704073
50,3636.24,1.76111,1.45996,2.0631,0.25859,0.30341,0.16438,0.05308,2.83607,2.75569,3.15913,0.000667344,0.000667344,0.000667344
51,3706.25,1.75795,1.44812,2.07554,0.27173,0.29868,0.18405,0.06055,2.87013,2.85503,3.18921,0.000631143,0.000631143,0.000631143
52,3776.53,1.72921,1.40976,2.03758,0.27483,0.27156,0.17281,0.05595,3.03508,2.91329,3.36685,0.000595527,0.000595527,0.000595527
53,3846.64,1.70049,1.37932,2.01761,0.28923,0.30673,0.1877,0.05907,2.88721,2.82795,3.29169,0.000560549,0.000560549,0.000560549
54,3916.9,1.68543,1.36485,2.00296,0.29308,0.2793,0.17151,0.05676,2.93283,2.88895,3.33462,0.000526265,0.000526265,0.000526265
55,3987.17,1.67368,1.3711,1.99288,0.28146,0.2951,0.17187,0.0543,3.01084,2.82826,3.4234,0.000492726,0.000492726,0.000492726
56,4057.39,1.6384,1.30478,1.96026,0.27625,0.27598,0.16232,0.05123,2.99521,2.90747,3.47579,0.000459985,0.000459985,0.000459985
57,4127.5,1.63522,1.30401,1.97271,0.27136,0.28595,0.16493,0.05172,3.02637,2.90455,3.4932,0.000428093,0.000428093,0.000428093
58,4197.68,1.6089,1.30438,1.93837,0.27624,0.28173,0.16673,0.0524,2.98894,2.91758,3.42824,0.000397097,0.000397097,0.000397097
59,4268.01,1.57462,1.24687,1.92759,0.32101,0.25187,0.16809,0.05153,2.96262,2.82963,3.45374,0.000367046,0.000367046,0.000367046
60,4338.17,1.55217,1.21026,1.90387,0.29395,0.26766,0.16447,0.05157,3.02295,2.917,3.5188,0.000337987,0.000337987,0.000337987
61,4408.55,1.54617,1.19788,1.89027,0.3065,0.27182,0.16614,0.0521,3.02031,2.91748,3.52861,0.000309964,0.000309964,0.000309964
62,4478.82,1.51917,1.17624,1.86981,0.2523,0.31338,0.16689,0.05208,3.07669,2.9796,3.64802,0.000283021,0.000283021,0.000283021
63,4549.13,1.49944,1.15522,1.85396,0.29831,0.28096,0.16508,0.05241,3.02987,2.94927,3.57645,0.000257198,0.000257198,0.000257198
64,4619.42,1.49195,1.16238,1.85388,0.29415,0.26434,0.16241,0.05057,3.05431,2.96683,3.58975,0.000232536,0.000232536,0.000232536
65,4689.86,1.47898,1.15423,1.84638,0.30485,0.26101,0.16215,0.04965,3.06597,3.01624,3.65654,0.000209073,0.000209073,0.000209073
66,4761.02,1.47802,1.11458,1.8383,0.32144,0.24023,0.16492,0.04969,3.13855,3.04572,3.72793,0.000186845,0.000186845,0.000186845
67,4831.31,1.45199,1.09582,1.82873,0.29349,0.29094,0.16679,0.05107,3.0707,2.97287,3.67862,0.000165886,0.000165886,0.000165886
68,4901.67,1.4364,1.08702,1.81025,0.28727,0.28761,0.16409,0.05263,3.06329,2.99409,3.67176,0.000146229,0.000146229,0.000146229
69,4972.11,1.43992,1.1,1.81477,0.29137,0.2818,0.16844,0.05203,3.12737,3.00146,3.77148,0.000127904,0.000127904,0.000127904
70,5042.6,1.42539,1.09733,1.81281,0.26914,0.30008,0.16366,0.05228,3.07339,2.99906,3.70648,0.000110938,0.000110938,0.000110938
71,5112.95,1.41151,1.05947,1.78045,0.30125,0.27165,0.16109,0.04959,3.11421,3.00614,3.77345,9.53593e-05,9.53593e-05,9.53593e-05
72,5183.34,1.39897,1.04253,1.78205,0.26659,0.30424,0.16495,0.05125,3.10584,2.99484,3.76968,8.11906e-05,8.11906e-05,8.11906e-05
73,5253.61,1.41287,1.05022,1.78461,0.29045,0.28346,0.16499,0.04987,3.09834,2.99982,3.75996,6.8454e-05,6.8454e-05,6.8454e-05
74,5323.9,1.38211,1.03629,1.77144,0.29566,0.28263,0.16525,0.05049,3.12284,3.02014,3.79149,5.71693e-05,5.71693e-05,5.71693e-05
75,5394.4,1.40104,1.04171,1.79551,0.28922,0.28345,0.16464,0.05098,3.11922,3.02536,3.78558,4.73538e-05,4.73538e-05,4.73538e-05
76,5464.72,1.39148,1.03254,1.79571,0.28854,0.2818,0.16192,0.05006,3.11266,3.02299,3.77654,3.90226e-05,3.90226e-05,3.90226e-05
77,5534.98,1.38498,1.02796,1.77648,0.29548,0.27598,0.16047,0.04973,3.1105,3.01791,3.77469,3.21885e-05,3.21885e-05,3.21885e-05
78,5605.24,1.35714,1.02148,1.75257,0.29582,0.27203,0.15787,0.04867,3.12235,3.01956,3.80185,2.68622e-05,2.68622e-05,2.68622e-05
79,5675.56,1.36999,1.01444,1.76106,0.27607,0.27705,0.15676,0.0487,3.10496,3.03514,3.77132,2.30518e-05,2.30518e-05,2.30518e-05
80,5745.97,1.36227,1.00194,1.76239,0.27621,0.28346,0.15921,0.04883,3.12063,3.01306,3.81043,2.07633e-05,2.07633e-05,2.07633e-05
