epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,7411.82,1.80544,1.0733,1.41861,0.93914,0.78525,0.85337,0.37788,1.96901,1.00102,1.59851,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,7638.72,1.80207,1.062,1.41526,0.94315,0.78091,0.84851,0.38118,1.94763,0.99498,1.58253,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,7865.69,1.786,1.06029,1.40714,0.95523,0.77926,0.85207,0.38503,1.93841,0.99521,1.58759,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,8092.23,1.78086,1.05328,1.39769,0.93932,0.76805,0.84266,0.36903,1.98099,1.00379,1.60049,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,8318.98,1.77763,1.04577,1.4053,0.9369,0.78395,0.84877,0.37515,1.95223,0.99029,1.59537,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,8545.59,1.77027,1.02991,1.39764,0.92967,0.78372,0.84315,0.38119,1.94813,0.99884,1.58287,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,8772.13,1.75939,1.01803,1.394,0.95553,0.78372,0.84907,0.37603,1.96356,0.97726,1.59169,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,8998.83,1.74713,1.01528,1.3823,0.94672,0.78944,0.85712,0.38755,1.92415,0.96396,1.57217,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,9225.61,1.74435,0.99512,1.37958,0.94942,0.79262,0.85864,0.38719,1.92902,0.96499,1.56831,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,9452.09,1.72567,0.98568,1.37151,0.95896,0.78782,0.86155,0.39524,1.91145,0.95452,1.56033,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,9679.25,1.72589,0.99038,1.38236,0.95687,0.79038,0.85325,0.38115,1.95718,0.97234,1.58558,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,9906.48,1.71739,0.97751,1.37411,0.94956,0.79707,0.85897,0.39442,1.91862,0.95284,1.56042,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,10133.6,1.71099,0.96203,1.37116,0.94625,0.8028,0.8658,0.39441,1.91351,0.94598,1.56296,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,10360.5,1.71536,0.97916,1.37445,0.94879,0.79962,0.86408,0.39345,1.93113,0.95047,1.56829,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,10587.8,1.69958,0.95664,1.35583,0.94127,0.79527,0.86286,0.39517,1.93023,0.94257,1.56746,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,10815.1,1.68914,0.96236,1.36228,0.95061,0.80344,0.86258,0.4014,1.90796,0.93015,1.56001,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,11042.7,1.67482,0.9354,1.35866,0.93696,0.81311,0.86621,0.3988,1.89307,0.92576,1.55284,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,11269.9,1.66263,0.93296,1.34595,0.9563,0.80407,0.87025,0.39367,1.90811,0.92999,1.56494,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,11497,1.6721,0.92841,1.3446,0.95063,0.79644,0.86557,0.39886,1.90236,0.92016,1.55804,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,11724.5,1.6727,0.92859,1.34154,0.94695,0.80616,0.86016,0.3933,1.92363,0.92801,1.57754,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,11951.4,1.64313,0.90026,1.32892,0.95492,0.80854,0.86522,0.40137,1.9049,0.91946,1.56553,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,12178.3,1.65274,0.90236,1.33319,0.95228,0.7998,0.86293,0.39834,1.8947,0.92435,1.5608,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,12405.3,1.64851,0.89267,1.3324,0.95575,0.80025,0.86029,0.40267,1.89354,0.90999,1.55915,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,12632.9,1.63636,0.88964,1.32781,0.94822,0.80852,0.86331,0.39596,1.89673,0.91935,1.56261,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,12859.5,1.63642,0.884,1.3285,0.95607,0.80306,0.86208,0.39768,1.89793,0.91573,1.56881,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,13086,1.61185,0.86845,1.32122,0.96108,0.80789,0.86543,0.40191,1.8908,0.91022,1.56108,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,13312.8,1.61037,0.87457,1.32302,0.95959,0.80069,0.86112,0.39854,1.89309,0.92009,1.55899,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,13539.5,1.62106,0.8791,1.32574,0.95842,0.8098,0.86574,0.40434,1.8725,0.90121,1.54419,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,13766.2,1.59878,0.84678,1.30558,0.95174,0.80534,0.86221,0.40774,1.86537,0.91595,1.54258,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,13993.1,1.59523,0.84259,1.29988,0.95314,0.8098,0.86259,0.4032,1.883,0.91733,1.55512,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,14220,1.58227,0.84579,1.29923,0.94743,0.80258,0.85787,0.40221,1.88233,0.91246,1.5556,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,14446.9,1.58476,0.829,1.30086,0.94788,0.80982,0.8642,0.40904,1.8726,0.91029,1.55721,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
