epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,426.327,2.20613,2.75173,1.83624,0.16201,0.15356,0.07977,0.03168,2.50601,3.10301,2.06617,0.0014588,0.0014588,0.0014588
43,436.451,2.20395,2.71539,1.83179,0.18097,0.17228,0.10479,0.0385,2.51087,3.00089,2.16056,0.0014456,0.0014456,0.0014456
44,446.576,2.19089,2.70707,1.82454,0.16692,0.13109,0.08304,0.03215,2.47876,3.11587,2.09017,0.0014324,0.0014324,0.0014324
45,456.718,2.21129,2.73968,1.84139,0.16883,0.17978,0.0917,0.0344,2.49249,2.95474,2.1364,0.0014192,0.0014192,0.0014192
46,466.876,2.1872,2.7362,1.82157,0.18115,0.19476,0.10468,0.03748,2.41123,2.99346,2.08575,0.001406,0.001406,0.001406
47,476.958,2.17792,2.72464,1.81746,0.18843,0.17228,0.09283,0.03642,2.40706,2.97001,2.13704,0.0013928,0.0013928,0.0013928
48,487.096,2.17342,2.73748,1.82469,0.20591,0.17603,0.10052,0.03945,2.37338,2.94855,2.06207,0.0013796,0.0013796,0.0013796
49,497.22,2.21218,2.73416,1.83698,0.25395,0.17849,0.11505,0.04369,2.45988,2.97785,2.16433,0.0013664,0.0013664,0.0013664
50,507.35,2.21219,2.72011,1.84544,0.19485,0.20974,0.08681,0.02881,2.43444,3.01416,2.17899,0.0013532,0.0013532,0.0013532
51,517.405,2.1696,2.67102,1.8076,0.1885,0.17603,0.10562,0.04254,2.40425,2.88396,2.11545,0.00134,0.00134,0.00134
52,527.501,2.16094,2.67157,1.81643,0.2178,0.16895,0.11556,0.04181,2.44998,2.9034,2.09552,0.0013268,0.0013268,0.0013268
53,537.59,2.14564,2.63534,1.78609,0.23216,0.17228,0.1191,0.04436,2.42155,2.8783,2.13881,0.0013136,0.0013136,0.0013136
54,547.729,2.16515,2.64225,1.80754,0.19682,0.1985,0.11358,0.04247,2.44044,2.91314,2.08735,0.0013004,0.0013004,0.0013004
55,558.238,2.16279,2.64317,1.81422,0.17269,0.17603,0.10444,0.03734,2.38993,3.00107,2.09105,0.0012872,0.0012872,0.0012872
56,568.403,2.13326,2.62912,1.79721,0.22485,0.20974,0.1205,0.04798,2.41024,2.95709,2.06885,0.001274,0.001274,0.001274
