epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,7933.89,1.79056,1.12232,1.42501,0.19864,0.15256,0.05603,0.0163,3.06698,4.29494,2.14134,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,8175.87,1.77808,1.10218,1.41665,0.19228,0.15004,0.06033,0.01933,3.03694,4.4623,2.13392,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,8418.22,1.76763,1.10797,1.40498,0.23831,0.16077,0.08681,0.02534,3.00024,4.80722,2.04982,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,8660.56,1.75862,1.07981,1.39709,0.20046,0.13328,0.06254,0.02142,3.04415,4.49353,2.04122,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,8902.6,1.75975,1.08627,1.40661,0.2286,0.15277,0.07649,0.02409,3.07491,4.79057,2.09371,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,9144.54,1.74744,1.07278,1.39783,0.23273,0.14417,0.06706,0.02103,3.07509,4.83425,2.08761,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,9387.15,1.74139,1.06127,1.39257,0.30001,0.16764,0.11023,0.03395,2.96612,4.57375,2.00838,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,9629.94,1.73009,1.06492,1.39268,0.2789,0.16262,0.10936,0.02956,3.00275,4.48837,2.03993,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,9872.44,1.7217,1.04763,1.38102,0.26078,0.15926,0.09912,0.03076,3.24329,4.44889,2.17949,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,10114.8,1.71589,1.02878,1.37534,0.23425,0.14669,0.07593,0.02376,3.03672,4.72953,2.05768,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,10357.4,1.69865,1.01596,1.36482,0.27794,0.1425,0.09013,0.02757,3.1793,4.73998,2.18531,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,10600.2,1.69301,1.0027,1.36076,0.26582,0.15759,0.10207,0.03336,3.1148,5.01663,2.16267,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,10842.7,1.69436,1.01292,1.37135,0.2144,0.1316,0.0728,0.02724,3.16229,5.01372,2.24147,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,11085.3,1.68231,1.00169,1.35816,0.24692,0.14753,0.08419,0.02986,3.18706,4.70631,2.22,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,11327.9,1.67755,1.00084,1.35444,0.22808,0.13328,0.06723,0.02199,3.15444,4.88822,2.16286,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,11570.3,1.67875,0.98876,1.35508,0.21819,0.14925,0.06165,0.01957,3.12261,4.88241,2.14947,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,11812.5,1.65665,0.96543,1.34971,0.2358,0.15842,0.07802,0.02615,3.16284,4.739,2.1964,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,12054.6,1.6709,0.97711,1.34892,0.27807,0.15004,0.08802,0.02861,3.32063,5.05842,2.30749,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,12296.9,1.64756,0.95183,1.33577,0.26645,0.15423,0.0911,0.02709,3.17134,4.88824,2.17845,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,12539.1,1.63919,0.96163,1.33711,0.25818,0.15339,0.09779,0.03188,3.17419,4.82875,2.19725,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
