epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4853.33,1.68973,1.54513,1.56494,0.24532,0.28669,0.18107,0.06287,2.28849,2.90239,2.17463,0.0014588,0.0014588,0.0014588
43,4965.28,1.69365,1.56629,1.56762,0.25411,0.25138,0.15177,0.05759,2.22334,2.8886,2.11143,0.0014456,0.0014456,0.0014456
44,5077.15,1.70374,1.54389,1.56504,0.26307,0.26271,0.18176,0.06416,2.28445,2.90705,2.1695,0.0014324,0.0014324,0.0014324
45,5188.98,1.67812,1.50773,1.55424,0.27179,0.26466,0.17866,0.06745,2.30269,2.95897,2.19853,0.0014192,0.0014192,0.0014192
46,5300.83,1.66761,1.49026,1.54782,0.25745,0.28086,0.16627,0.05513,2.31275,2.92703,2.1669,0.001406,0.001406,0.001406
47,5412.54,1.67076,1.49942,1.54221,0.30018,0.25397,0.17199,0.05591,2.34622,2.99237,2.19925,0.0013928,0.0013928,0.0013928
48,5524.12,1.65474,1.45015,1.5286,0.28777,0.28127,0.18009,0.06137,2.29996,2.94629,2.17636,0.0013796,0.0013796,0.0013796
49,5636.13,1.64828,1.468,1.52547,0.27556,0.27308,0.16679,0.05643,2.32053,3.25076,2.18224,0.0013664,0.0013664,0.0013664
50,5748.15,1.61751,1.42002,1.51541,0.29087,0.28053,0.18039,0.06275,2.32199,2.78643,2.20914,0.0013532,0.0013532,0.0013532
51,5860.03,1.64145,1.43606,1.52119,0.28355,0.27146,0.1689,0.05849,2.33367,3.03536,2.21477,0.00134,0.00134,0.00134
52,5972.86,1.64791,1.43974,1.52693,0.27071,0.27007,0.15828,0.05444,2.32933,3.03774,2.2128,0.0013268,0.0013268,0.0013268
53,6084.92,1.63313,1.42028,1.51246,0.31039,0.28993,0.19333,0.07279,2.26872,2.64519,2.15545,0.0013136,0.0013136,0.0013136
54,6196.91,1.61463,1.41569,1.49999,0.27209,0.27243,0.16951,0.05587,2.33464,2.88993,2.2084,0.0013004,0.0013004,0.0013004
55,6308.86,1.61447,1.41067,1.51148,0.30466,0.24256,0.17514,0.06273,2.29021,2.88888,2.18907,0.0012872,0.0012872,0.0012872
56,6420.75,1.60632,1.37415,1.48901,0.31039,0.27308,0.19255,0.06825,2.29765,2.90703,2.17227,0.001274,0.001274,0.001274
57,6532.67,1.58709,1.38212,1.48996,0.29486,0.30126,0.19481,0.06814,2.30024,2.77204,2.17751,0.0012608,0.0012608,0.0012608
58,6644.59,1.60155,1.37851,1.49817,0.30907,0.27535,0.18719,0.06838,2.31136,2.96888,2.18973,0.0012476,0.0012476,0.0012476
59,6756.52,1.57491,1.34325,1.48515,0.28543,0.27373,0.17416,0.06222,2.29495,3.05837,2.16659,0.0012344,0.0012344,0.0012344
60,6868.48,1.57602,1.34814,1.47644,0.29184,0.27859,0.18962,0.06825,2.31402,2.88687,2.17376,0.0012212,0.0012212,0.0012212
61,6980.37,1.57292,1.34012,1.47763,0.3486,0.28539,0.20786,0.07375,2.32096,2.84911,2.19802,0.001208,0.001208,0.001208
62,7092.2,1.56387,1.35124,1.47767,0.30135,0.26725,0.16864,0.05735,2.37943,3.03527,2.25396,0.0011948,0.0011948,0.0011948
63,7204.07,1.55357,1.30868,1.46319,0.28549,0.28571,0.17527,0.06144,2.34726,2.98508,2.23352,0.0011816,0.0011816,0.0011816
64,7316,1.54728,1.29595,1.45798,0.31357,0.26466,0.17735,0.06293,2.37959,3.10716,2.30587,0.0011684,0.0011684,0.0011684
65,7428.23,1.54706,1.30868,1.455,0.30066,0.28474,0.19361,0.06642,2.36105,2.98589,2.23787,0.0011552,0.0011552,0.0011552
66,7540.3,1.5311,1.28702,1.44818,0.2922,0.27535,0.16901,0.06061,2.38284,2.99251,2.26378,0.001142,0.001142,0.001142
67,7652.25,1.52587,1.27064,1.4459,0.32225,0.28312,0.20397,0.07641,2.3384,2.86894,2.24397,0.0011288,0.0011288,0.0011288
68,7764.4,1.5227,1.25048,1.43577,0.2948,0.31681,0.20602,0.07104,2.37386,2.84632,2.27046,0.0011156,0.0011156,0.0011156
69,7876.41,1.51651,1.27421,1.44524,0.3557,0.27114,0.20023,0.07333,2.31647,2.87843,2.21664,0.0011024,0.0011024,0.0011024
