epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.237,3.23338,7.26142,3.30569,0.00317,0.45772,0.00202,0.0006,3.18319,224.363,3.61445,0.000662921,0.000662921,0.000662921
2,294.907,3.1327,3.41711,3.21801,0.00318,0.15772,0.00172,0.0005,4.23997,4.7386,4.17509,0.00132908,0.00132908,0.00132908
3,378.625,3.0834,3.28737,3.24133,0.05509,0.1122,0.02446,0.00763,3.03316,5.4658,3.17299,0.00199321,0.00199321,0.00199321
4,461.818,2.96865,3.15601,3.16616,0.10273,0.11382,0.04115,0.012,3.11436,4.20161,3.24064,0.00199314,0.00199314,0.00199314
5,544.783,2.9234,3.04907,3.09327,0.08623,0.1203,0.03132,0.01071,2.91114,3.44344,3.0302,0.00198781,0.00198781,0.00198781
6,627.688,2.80247,2.94957,2.99839,0.13598,0.1561,0.0676,0.02172,2.87834,3.03263,3.01679,0.00198098,0.00198098,0.00198098
7,710.786,2.76524,2.90574,2.93554,0.13613,0.16179,0.06382,0.02217,2.84486,3.10696,2.98014,0.00197265,0.00197265,0.00197265
8,793.707,2.71866,2.83873,2.89664,0.12605,0.19593,0.07233,0.02403,2.80358,3.11167,2.90356,0.00196283,0.00196283,0.00196283
9,876.773,2.67392,2.811,2.84348,0.1323,0.19106,0.06767,0.02378,2.79209,3.13483,2.92046,0.00195155,0.00195155,0.00195155
10,959.63,2.62082,2.72757,2.78476,0.21938,0.1561,0.09922,0.03309,2.73797,2.92034,2.85282,0.00193881,0.00193881,0.00193881
11,1042.64,2.5984,2.69431,2.77358,0.15963,0.17805,0.09096,0.0327,2.71856,3.02826,2.78906,0.00192464,0.00192464,0.00192464
12,1125.39,2.57421,2.64683,2.76751,0.17748,0.2122,0.11959,0.04056,2.7546,2.9132,2.86044,0.00190906,0.00190906,0.00190906
13,1208.51,2.52558,2.62552,2.72549,0.12696,0.2122,0.09283,0.03106,2.76999,3.09679,2.84442,0.0018921,0.0018921,0.0018921
14,1291.26,2.48714,2.57562,2.69376,0.15848,0.19106,0.09008,0.03055,2.72948,3.07375,2.83099,0.00187377,0.00187377,0.00187377
15,1373.83,2.48121,2.54613,2.67382,0.1786,0.21545,0.11339,0.04058,2.68139,2.91193,2.82434,0.00185411,0.00185411,0.00185411
16,1456.73,2.47453,2.51932,2.67893,0.20398,0.23415,0.1192,0.03884,2.69786,2.74737,2.78275,0.00183315,0.00183315,0.00183315
17,1539.38,2.42937,2.48154,2.6246,0.17316,0.20813,0.11297,0.03906,2.64297,2.87102,2.77611,0.00181093,0.00181093,0.00181093
18,1622.32,2.42215,2.45949,2.61795,0.20343,0.21138,0.12542,0.04344,2.75405,2.81088,2.91481,0.00178746,0.00178746,0.00178746
19,1705.42,2.38794,2.40009,2.57757,0.20093,0.22426,0.11923,0.03873,2.69401,2.81379,2.80279,0.0017628,0.0017628,0.0017628
20,1788.35,2.37686,2.38273,2.59239,0.21882,0.22276,0.12168,0.04109,2.8046,2.92814,2.9422,0.00173698,0.00173698,0.00173698
21,1871.04,2.34447,2.34812,2.56059,0.20663,0.25092,0.12755,0.04413,2.70251,2.76536,2.85631,0.00171004,0.00171004,0.00171004
22,1954.07,2.32402,2.29321,2.54494,0.20207,0.16504,0.08849,0.03114,2.98225,3.5464,3.04415,0.00168201,0.00168201,0.00168201
23,2037,2.32853,2.2902,2.54158,0.21186,0.27805,0.13509,0.04581,2.70991,2.59671,2.8134,0.00165295,0.00165295,0.00165295
24,2119.99,2.28719,2.2544,2.50849,0.21134,0.24553,0.13329,0.04576,2.74735,2.73666,2.86887,0.0016229,0.0016229,0.0016229
25,2202.83,2.28134,2.23457,2.50353,0.1681,0.22927,0.07925,0.0257,2.94961,3.2812,2.96839,0.00159191,0.00159191,0.00159191
26,2285.42,2.27316,2.20428,2.49965,0.24985,0.24715,0.14827,0.04532,2.71411,2.65707,2.82074,0.00156001,0.00156001,0.00156001
27,2368.1,2.26994,2.17795,2.49036,0.16685,0.19837,0.09655,0.03112,2.89763,3.28894,2.94681,0.00152727,0.00152727,0.00152727
28,2450.88,2.24146,2.15243,2.46277,0.2173,0.21789,0.12691,0.0402,2.81151,2.92801,2.92072,0.00149374,0.00149374,0.00149374
29,2533.83,2.2001,2.12741,2.43305,0.23695,0.2767,0.16879,0.05138,2.70874,2.64334,2.86218,0.00145945,0.00145945,0.00145945
30,2616.62,2.19153,2.08956,2.42597,0.23032,0.25447,0.14521,0.04369,2.74962,2.81904,2.86284,0.00142447,0.00142447,0.00142447
31,2699.5,2.18104,2.06581,2.40962,0.22233,0.23986,0.13196,0.04346,2.72877,2.78243,2.84097,0.00138886,0.00138886,0.00138886
32,2782.4,2.18996,2.05123,2.42627,0.26066,0.23089,0.15079,0.05139,2.96029,2.9789,3.11461,0.00135266,0.00135266,0.00135266
33,2865.47,2.13834,2.00685,2.38039,0.21437,0.27805,0.14233,0.04711,2.72919,2.70403,2.87886,0.00131593,0.00131593,0.00131593
34,2948.21,2.144,1.98624,2.37972,0.23653,0.28699,0.15954,0.05338,2.68931,2.59798,2.82466,0.00127873,0.00127873,0.00127873
35,3031.32,2.1191,1.97115,2.35634,0.24404,0.29187,0.16807,0.0492,2.82195,2.61985,2.96282,0.00124111,0.00124111,0.00124111
36,3114.16,2.0988,1.95165,2.34865,0.22124,0.28049,0.15075,0.04656,2.75828,2.68151,2.88956,0.00120314,0.00120314,0.00120314
