epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1122.48,2.19343,2.84407,2.00072,0.15513,0.20974,0.0875,0.03092,2.41815,3.12815,2.28956,0.0014456,0.0014456,0.0014456
44,1145.67,2.17867,2.86259,2.01214,0.14939,0.1573,0.07932,0.02872,2.40582,3.14352,2.37054,0.0014324,0.0014324,0.0014324
45,1168.85,2.18989,2.86837,2.0246,0.17355,0.16854,0.08998,0.03136,2.37027,3.09901,2.33692,0.0014192,0.0014192,0.0014192
46,1192.06,2.16677,2.87429,2.00118,0.15166,0.19101,0.08621,0.02896,2.36464,3.09342,2.31062,0.001406,0.001406,0.001406
47,1215.16,2.15544,2.82449,1.99404,0.15371,0.16479,0.07243,0.0276,2.36533,3.09772,2.31955,0.0013928,0.0013928,0.0013928
48,1238.25,2.17505,2.83174,2.02105,0.16828,0.19101,0.10432,0.03536,2.36331,3.13819,2.28478,0.0013796,0.0013796,0.0013796
49,1261.4,2.17119,2.85748,2.01667,0.17958,0.17978,0.07613,0.03109,2.40089,3.11094,2.32629,0.0013664,0.0013664,0.0013664
50,1284.55,2.17172,2.82886,1.99404,0.13059,0.16854,0.07093,0.02754,2.37346,3.25002,2.29335,0.0013532,0.0013532,0.0013532
51,1307.66,2.14399,2.78301,1.98536,0.15567,0.18727,0.08028,0.02824,2.37145,3.10778,2.33684,0.00134,0.00134,0.00134
52,1330.84,2.15874,2.80643,2.00503,0.18095,0.19279,0.10356,0.03512,2.34969,3.09737,2.32423,0.0013268,0.0013268,0.0013268
53,1354.03,2.12123,2.75314,1.94879,0.18725,0.20225,0.10286,0.03544,2.40632,3.13905,2.31028,0.0013136,0.0013136,0.0013136
54,1377.24,2.14128,2.76753,1.98079,0.15761,0.17978,0.08725,0.0318,2.38189,3.10263,2.37497,0.0013004,0.0013004,0.0013004
55,1400.35,2.1606,2.78255,2.01232,0.17462,0.16854,0.09085,0.032,2.35149,3.14516,2.31708,0.0012872,0.0012872,0.0012872
56,1423.42,2.09138,2.75905,1.96095,0.20416,0.17228,0.09922,0.03517,2.36295,3.04502,2.38146,0.001274,0.001274,0.001274
57,1446.56,2.1149,2.74181,1.95043,0.20052,0.18727,0.10183,0.03809,2.38207,3.09163,2.32983,0.0012608,0.0012608,0.0012608
58,1469.78,2.10508,2.74412,1.96101,0.20532,0.17603,0.10239,0.03908,2.38612,3.10181,2.37641,0.0012476,0.0012476,0.0012476
59,1493.01,2.07993,2.69186,1.92695,0.21239,0.20225,0.11614,0.04032,2.3824,3.01522,2.35711,0.0012344,0.0012344,0.0012344
60,1516.2,2.08972,2.7297,1.92774,0.17171,0.19476,0.09863,0.0353,2.32789,3.03349,2.29265,0.0012212,0.0012212,0.0012212
61,1539.37,2.04283,2.69974,1.92225,0.19175,0.13483,0.10237,0.03793,2.34085,3.11956,2.29212,0.001208,0.001208,0.001208
62,1562.48,2.05147,2.71048,1.91835,0.18113,0.19717,0.10458,0.03677,2.3571,3.08069,2.29541,0.0011948,0.0011948,0.0011948
63,1585.62,2.06224,2.66162,1.92656,0.22809,0.21723,0.11102,0.03781,2.32783,3.02806,2.28888,0.0011816,0.0011816,0.0011816
64,1608.81,2.07237,2.68687,1.93167,0.19783,0.19476,0.09692,0.03852,2.36064,3.05453,2.34501,0.0011684,0.0011684,0.0011684
65,1631.94,2.07053,2.70136,1.93985,0.2216,0.19476,0.11753,0.0477,2.32093,2.99241,2.27803,0.0011552,0.0011552,0.0011552
66,1655.19,2.06394,2.70234,1.93771,0.18795,0.18352,0.10685,0.0382,2.3427,3.04861,2.32002,0.001142,0.001142,0.001142
67,1678.38,2.04631,2.67854,1.93545,0.23562,0.20225,0.10556,0.03733,2.36172,3.03862,2.39501,0.0011288,0.0011288,0.0011288
68,1701.53,2.01233,2.6029,1.88809,0.21898,0.20225,0.11127,0.04113,2.38634,3.13219,2.35446,0.0011156,0.0011156,0.0011156
69,1724.66,2.03653,2.63307,1.92001,0.16661,0.20225,0.09941,0.03646,2.37159,3.08432,2.32661,0.0011024,0.0011024,0.0011024
70,1747.81,2.00513,2.6191,1.88829,0.20885,0.19101,0.10468,0.03761,2.37002,3.02268,2.27536,0.0010892,0.0010892,0.0010892
71,1770.94,2.0189,2.66214,1.89226,0.2209,0.1573,0.09121,0.03616,2.32399,3.16322,2.32609,0.001076,0.001076,0.001076
72,1794.08,1.99584,2.64037,1.8885,0.19219,0.21348,0.10899,0.03629,2.37104,3.03998,2.35011,0.0010628,0.0010628,0.0010628
73,1817.22,2.01477,2.63283,1.89565,0.22858,0.19101,0.10371,0.03885,2.3738,2.98075,2.3375,0.0010496,0.0010496,0.0010496
74,1840.34,1.97248,2.54866,1.84501,0.21664,0.18727,0.1023,0.0388,2.32166,3.02389,2.28393,0.0010364,0.0010364,0.0010364
75,1863.48,2.00418,2.58019,1.90144,0.24258,0.16854,0.10858,0.03936,2.34717,3.08822,2.31695,0.0010232,0.0010232,0.0010232
76,1886.62,1.95526,2.52908,1.86283,0.21674,0.19101,0.1211,0.04326,2.36665,2.99748,2.34962,0.00101,0.00101,0.00101
77,1909.73,1.94741,2.55086,1.85677,0.19282,0.19476,0.09585,0.03512,2.38615,3.01653,2.35587,0.0009968,0.0009968,0.0009968
78,1932.84,1.92736,2.4658,1.84499,0.23253,0.16854,0.10656,0.03891,2.42099,3.04708,2.34099,0.0009836,0.0009836,0.0009836
79,1955.98,1.94291,2.49735,1.84163,0.21917,0.1985,0.12667,0.04737,2.38724,3.00611,2.3883,0.0009704,0.0009704,0.0009704
80,1979.1,1.94977,2.50619,1.85863,0.20473,0.19476,0.11012,0.04074,2.388,3.03511,2.40495,0.0009572,0.0009572,0.0009572
81,2002.34,1.94962,2.55459,1.85302,0.23211,0.15356,0.10715,0.04164,2.32876,3.07916,2.28353,0.000944,0.000944,0.000944
82,2025.54,1.89631,2.48038,1.78542,0.21285,0.22472,0.09747,0.03498,2.32402,3.08853,2.26312,0.0009308,0.0009308,0.0009308
83,2048.64,1.88898,2.47296,1.80303,0.23885,0.18727,0.11245,0.04197,2.39986,3.04859,2.37196,0.0009176,0.0009176,0.0009176
84,2071.74,1.87575,2.46885,1.77685,0.22476,0.19546,0.11493,0.04273,2.40647,3.01932,2.3526,0.0009044,0.0009044,0.0009044
85,2094.82,1.9408,2.50242,1.86185,0.2757,0.17228,0.10949,0.03783,2.37069,3.02883,2.38138,0.0008912,0.0008912,0.0008912
86,2117.91,1.84184,2.4044,1.78209,0.18262,0.21723,0.10403,0.04026,2.38464,3.05194,2.36449,0.000878,0.000878,0.000878
87,2141.05,1.8858,2.39825,1.77722,0.23743,0.19008,0.0986,0.03787,2.46439,3.07885,2.40714,0.0008648,0.0008648,0.0008648
88,2164.3,1.88432,2.41552,1.78792,0.21108,0.1985,0.1172,0.04396,2.36949,2.99895,2.30525,0.0008516,0.0008516,0.0008516
89,2187.55,1.89943,2.43723,1.80362,0.23064,0.1985,0.12534,0.04727,2.34989,2.98274,2.30961,0.0008384,0.0008384,0.0008384
90,2210.7,1.87447,2.3886,1.80995,0.22347,0.20974,0.11493,0.04346,2.36504,3.0011,2.3694,0.0008252,0.0008252,0.0008252
91,2233.83,1.89966,2.41538,1.79497,0.24416,0.19476,0.11058,0.04141,2.35666,3.00777,2.32871,0.000812,0.000812,0.000812
92,2257.02,1.83258,2.33729,1.74454,0.25275,0.17603,0.11315,0.04066,2.39677,3.05756,2.38416,0.0007988,0.0007988,0.0007988
93,2280.25,1.88088,2.40305,1.78929,0.21102,0.18727,0.10859,0.03857,2.39668,3.02441,2.3762,0.0007856,0.0007856,0.0007856
94,2303.4,1.85054,2.35597,1.76892,0.24746,0.17978,0.10793,0.04134,2.40054,3.03405,2.39679,0.0007724,0.0007724,0.0007724
95,2326.59,1.8271,2.32788,1.76434,0.20061,0.17603,0.10459,0.04382,2.38558,3.00176,2.4231,0.0007592,0.0007592,0.0007592
